S	T
CDK1	NCAPG
ARPC4	ACTR2
MCM7	GINS2
CDC20	BUB1
MCM3	MCM7
MCM3	MCM4
MCM2	MCM5
MCM6	MCM5
MCM7	MCM5
FYN	CDH1
CDC20	CCNB1
CDC20	UBE2C
CDK1	MAD2L1
MCM3	MCM6
CDK1	AURKA
CDC20	CCNA2
COL1A2	COL1A1
MCM7	MCM2
CDK1	CCNA2
MCM2	MCM4
CDK1	CCNB1
NUF2	NDC80
MCM3	MCM2
PTTG1	CDC20
MCM3	MCM5
BUB1	MAD2L1
SMC4	NCAPH
MCM7	ORC6
MCM2	CDC6
MCM7	MCM4
MCM7	MCM6
NCAPG	NCAPH
FAS	CFLAR
MCM7	CDC6
CDK1	CDC20
MAD2L1	CCNA2
GINS1	GINS2
NEK2	MAD2L1
MCM4	MCM5
BUB1	NUF2
CDC20	NEK2
MCM6	MCM4
CDC20	MAD2L1
CDC20	CCNB2
ACTR2	ARPC3
MCM3	CDC6
CDK1	BUB1
CASC5	BUB1
ACTR3	ARPC3
TPX2	AURKA
CCNB2	CCNB1
ACTR2	ACTR3
ARPC4	ACTR3
SMC4	NCAPG
BUB1	NDC80
ARPC4	ARPC3
MCM2	MCM6
CDK1	CCNB2
CCNA2	CDC6
KIF20A	MAD2L1
MAD2L1	NDC80
MCM4	CDC6
CDK1	NDC80
CDC20	AURKA
ZWINT	NDC80
ORC6	MCM5
GINS2	MCM5
CDC20	NDC80
ORC6	CDC6
CDK1	UBE2C
MCM4	GINS2
BUB1	CCNB2
MCM6	CDC6
FOS	JUNB
MCM2	GINS2
CCNB2	AURKA
CCNA2	CCNB1
MCM7	GINS1
ZWINT	BUB1
MCM5	CDC6
MCM4	ORC6
ZWINT	NUF2
KIF20A	KIF11
CDK1	NUF2
UBE2C	CCNA2
DLGAP5	AURKA
COL5A2	COL1A2
KIF15	KIF11
MAD2L1	CCNB1
MCM6	GMNN
CCNB2	NDC80
MCM6	GINS2
CDC20	KIF2C
GINS1	MCM5
KIF2C	BUB1
UBE2C	MAD2L1
EDN1	EDNRB
KIF4A	KIF11
MYO5B	RAB11A
UBE2C	AURKA
COL5A2	COL1A1
ZWINT	CASC5
NDC80	CCNB1
COL3A1	COL1A2
COL3A1	COL1A1
CASC5	NDC80
MAD2L1	NUF2
CDC20	CASC5
TAL1	LMO2
TOP2A	TPX2
COL5A2	COL3A1
KIF2C	CCNB1
MAD2L1	CCNB2
PTTG1	UBE2C
MCM3	GINS2
UBE2C	CCNB1
CDK1	DLGAP5
PBK	CDK1
CDK1	KIF11
CCNB2	NCAPG
KIF20A	KIF4A
PTTG1	AURKA
MCM3	GINS1
CDK1	SMC4
CENPF	BUB1
MCM2	ORC6
CDC20	TTK
KIF2C	CCNB2
TTK	NDC80
CDK1	HMMR
CDK1	NEK2
CDK1	TTK
TTK	MAD2L1
NUSAP1	CDK1
TTK	BUB1
BUB1	KIF11
KIF2C	NDC80
CDK1	TPX2
CDC20	NUF2
KIF20A	KIF2C
KIF20A	KIF15
GINS1	MCM4
CDK1	ASPM
ASPM	NCAPG
TOP2A	CDK1
KIF2C	KIF11
CENPF	NDC80
CDK1	FOXM1
CDK1	KIF2C
BUB1	CCNB1
KIF20A	PRC1
CENPF	CCNB2
MCM6	ORC6
IL18R1	IL18RAP
GNG2	ADRB2
IL33	IL1RL1
ASPM	BUB1
HMMR	TPX2
NEK2	AURKA
TTK	NCAPG
ITGAL	ICAM1
ASPM	KIF11
KIF2C	KIF15
CENPF	NUF2
FOS	JUND
KIF4A	KIF2C
MCM2	GINS1
KIF2C	CENPF
